Episode,Steps,Reward,MaxReward,Epsilon,AvgLoss,AvgQValue
1105,460,23652,23669,0.0100,90.5208,17.2896
1106,463,23602,23669,0.0100,89.9353,17.2896
1107,463,23653,23669,0.0100,87.1044,17.2896
1108,469,23617,23669,0.0100,86.3758,17.2896
1109,472,23608,23669,0.0100,85.2022,17.2896
1110,457,23596,23669,0.0100,84.9322,17.2896
1111,463,23636,23669,0.0100,84.0647,17.2896
1112,464,23626,23669,0.0100,81.3905,17.2896
1113,293,950,23669,0.0100,84.0666,17.2896
1114,459,23607,23669,0.0100,84.1030,17.2896
1115,464,23613,23669,0.0100,81.8360,17.2896
1116,471,23583,23669,0.0100,80.7423,17.2896
1117,464,23645,23669,0.0100,79.1001,17.2896
1118,463,23611,23669,0.0100,76.9413,17.2896
1119,461,23615,23669,0.0100,78.1965,17.2896
1120,188,-2843,23669,0.0100,76.3144,17.2896
1121,462,23604,23669,0.0100,76.7728,17.2896
1122,464,23614,23669,0.0100,75.5449,17.2896
1123,461,23642,23669,0.0100,75.7621,17.2896
1124,466,23626,23669,0.0100,72.8988,17.2896
1125,188,-3073,23669,0.0100,72.3622,17.2896
1126,466,23595,23669,0.0100,72.0467,17.2896
1127,472,23595,23669,0.0100,73.1331,17.2896
1128,102,-6144,23669,0.0100,71.3163,17.2896
1129,464,23600,23669,0.0100,71.0822,17.2896
1130,414,1818,23669,0.0100,70.6327,17.2896
1131,469,23629,23669,0.0100,71.1913,17.2896
1132,471,23593,23669,0.0100,69.6693,17.2896
1133,470,23657,23669,0.0100,68.3335,17.2896
1134,466,23569,23669,0.0100,67.1654,17.2896
1135,461,23644,23669,0.0100,65.4764,17.2896
1136,413,1864,23669,0.0100,66.4504,17.2896
1137,461,23588,23669,0.0100,65.6868,17.2896
1138,464,23621,23669,0.0100,65.3627,17.2896
1139,412,1852,23669,0.0100,62.7960,17.2896
1140,226,-2991,23669,0.0100,62.2449,17.2896
1141,467,23637,23669,0.0100,63.1159,17.2896
1142,467,23619,23669,0.0100,63.5852,17.2896
1143,468,23630,23669,0.0100,61.0730,17.2896
1144,457,23602,23669,0.0100,59.9880,17.2896
