Episode 550, Steps: 1303, Reward: -6233, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 17621239802.1104
Episode 560, Steps: 1119, Reward: -5891, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 1757734609.9357
Episode 570, Steps: 152, Reward: -5067, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 537040510.4052
Episode 580, Steps: 1197, Reward: -5829, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 1046660.7626
Episode 590, Steps: 78, Reward: -3442, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 133868.5944
Episode 600, Steps: 120, Reward: -4533, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 114312.7118
Episode 610, Steps: 37, Reward: -4863, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 106599.3443
Episode 620, Steps: 12, Reward: -4938, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 139257.1923
Episode 630, Steps: 20, Reward: -4945, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 223916.4308
Episode 640, Steps: 21, Reward: -4922, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 354678.9918
Episode 650, Steps: 28, Reward: -4934, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 423528.9972
Episode 660, Steps: 21, Reward: -4925, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 246945.7978
Episode 670, Steps: 12, Reward: -4908, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 337558.6953
Episode 680, Steps: 106, Reward: -3430, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 187719.0227
Episode 690, Steps: 33, Reward: -4950, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 179458.1084
Episode 700, Steps: 18, Reward: -4973, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 112433.3620
Episode 710, Steps: 47, Reward: -5029, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 66814.4051
Episode 720, Steps: 63, Reward: -3420, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 26594.7134
Episode 730, Steps: 33, Reward: -4706, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 22198.4941
Episode 740, Steps: 18, Reward: -4882, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 18073.5347
Episode 750, Steps: 12, Reward: -4965, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 16844.2431
Episode 760, Steps: 44, Reward: -4740, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 11087.7113
Episode 770, Steps: 28, Reward: -4955, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 8836.9291
Episode 780, Steps: 17, Reward: -4861, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 8975.7339
Episode 790, Steps: 14, Reward: -4924, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 8665.2933
Episode 800, Steps: 58, Reward: -4655, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 7734.6003
Episode 810, Steps: 12, Reward: -4943, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 6886.9390
Episode 820, Steps: 13, Reward: -4983, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 7460.1612
Episode 830, Steps: 14, Reward: -4961, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 3670.4642
Episode 840, Steps: 12, Reward: -4921, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 5219.7622
Episode 850, Steps: 20, Reward: -4901, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 4712.0730
Episode 860, Steps: 16, Reward: -4940, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 4582.7909
Episode 870, Steps: 12, Reward: -4908, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 5435.8627
Episode 880, Steps: 19, Reward: -4985, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 2662.9797
Episode 890, Steps: 61, Reward: -4851, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 3280.7427
Episode 900, Steps: 14, Reward: -4947, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 3350.8985
Episode 910, Steps: 13, Reward: -4934, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 2925.5408
Episode 920, Steps: 21, Reward: -4979, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 4184.3218
Episode 930, Steps: 26, Reward: -4913, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 1995.0322
Episode 940, Steps: 15, Reward: -4944, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 1886.2883
Episode 950, Steps: 13, Reward: -4935, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 2039.1845
Episode 960, Steps: 16, Reward: -4939, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 1528.8860
Episode 970, Steps: 21, Reward: -4976, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 1639.7785
